sintomas,especialidad
Tengo la cara llena de granos feos y además se me está cayendo el pelo por parches.,Dermatología
Indica tener miodesopsias de inicio súbito.,Oftalmología
Presento reflujo gastroesofágico que no pasa.,Gastroenterología
Siento que me sale sangre de la nariz desde esta mañana.,Otorrinolaringología
Manifiesta dispepsia funcional que no pasa.,Gastroenterología
Siento que disminución de la agudeza visual que no pasa.,Oftalmología
Manifiesta odontalgia severa intermitente.,Odontología
Hay presencia de tos ferina desde esta mañana.,Pediatría
Palpitaciones taquicárdicas y siente síncope vasovagal.,Cardiología
"Me dio un soponcio y me caí, también refiere siento como una pata de elefante en el pecho.",Cardiología
Acude por presentar tengo ganas de quitarme la vida desde esta mañana.,Psiquiatría
Indica tener bruxismo que no pasa.,Odontología
Manifiesta ya no hago del baño como antes desde hace 3 días.,Oncología
Acude por presentar limitación funcional articular hace una semana.,Traumatología
Paciente refiere que dolor poliarticular constante.,Reumatología
Me da se quemó con agua hirviendo de inicio súbito.,Emergencias
Indica tener acné nódulo-quístico de inicio súbito.,Dermatología
"Doctor, tengo tengo el colon inflamado que no pasa.",Gastroenterología
Ayúdeme con me duelen todas las uniones que no pasa.,Reumatología
Acude por presentar síncope vasovagal de inicio súbito.,Cardiología
Tengo lesiones herpéticas intermitente.,Infectología
Se queja de hematemesis que no pasa.,Gastroenterología
Hiperemia conjuntival y siente disminución de la agudeza visual.,Oftalmología
Se queja de dolor abdominal inespecífico desde esta mañana.,Medicina General
"Se me ponen los dedos blancos con el frío, sumado a me duelen todas las uniones.",Reumatología
Se queja de la presión no me baja con nada constante.,Nefrología
Se queja de me salió un lunar raro hace una semana.,Dermatología
Manifiesta me siento muy nervioso y con miedo hace una semana.,Psiquiatría
"Veo mosquitas volando, también refiere ya no veo bien las letras de lejos.",Oftalmología
Manifiesta insomnio de conciliación desde hace 3 días.,Psiquiatría
Me da hipertensión resistente intermitente.,Nefrología
Se tomó un veneno y siente se está hinchando todo y no respira.,Emergencias
Siento que tengo sangre en las heces de inicio súbito.,Oncología
Me da tengo el colon inflamado de inicio súbito.,Gastroenterología
Tengo la presión por las nubes y además tengo las piernas hinchadas como tamal.,Cardiología
Indica tener me duelen los senos antes de la menstruación de inicio súbito.,Ginecología
Desde ayer tengo absceso periodontal desde hace 3 días.,Odontología
Paciente refiere que siento como una pata de elefante en el pecho constante.,Cardiología
"Gingivorragia, sumado a absceso periodontal.",Odontología
Tengo temblor distal fino intermitente.,Endocrinología
Acude por presentar mastalgia cíclica intermitente.,Ginecología
Ayúdeme con casi no estoy orinando nada desde esta mañana.,Nefrología
Desde ayer tengo sangrado uterino anormal que no pasa.,Ginecología
Me da tengo morado y soplado después del golpe desde esta mañana.,Traumatología
Presento edema periorbitario de inicio súbito.,Nefrología
Algia lumbar mecánica con fractura expuesta.,Traumatología
Acude por presentar me duele toda la cabeza como si tuviera una vincha desde esta mañana.,Neurología
Desde ayer tengo aumento de peso injustificado hace una semana.,Endocrinología
Tengo odontalgia severa que no pasa.,Odontología
Tengo paso estornudando todo el día constante.,Alergología
Desde ayer tengo masa palpable no dolorosa de inicio súbito.,Oncología
"Tengo un dolorcito de cabeza, sumado a tengo moquera clara.",Medicina General
"Tengo un nacido en la encía, acompañado de tengo mal aliento.",Odontología
"Doctor, tengo todo me da vueltas y me tumba constante.",Neurología
"No puedo mover la rodilla ni un poquito, sumado a se me salió el hueso.",Traumatología
Ayúdeme con reflujo gastroesofágico desde esta mañana.,Gastroenterología
Manifiesta todo lo que come lo vomita de inicio súbito.,Pediatría
Me da casi no estoy orinando nada constante.,Nefrología
Manifiesta me arde para orinar y voy a cada rato hace una semana.,Urología
Tengo me duele mucho un testículo desde esta mañana.,Urología
"Me hinca el corazón, también refiere me dio un soponcio y me caí.",Cardiología
Manifiesta siento hormigueo en medio cuerpo de inicio súbito.,Neurología
"Prurito vulvar, sumado a mastalgia cíclica.",Ginecología
Acude por presentar ideación suicida hace una semana.,Psiquiatría
Acude por presentar tengo la cara llena de granos feos constante.,Dermatología
Tengo estoy vomitando sangre que no pasa.,Gastroenterología
Ayúdeme con me duele todo el cuerpo constante.,Medicina General
"Doctor, tengo tengo moquera clara que no pasa.",Medicina General
Se queja de epistaxis anterior constante.,Otorrinolaringología
Rechinar los dientes al dormir con me duele la muela horrible.,Odontología
Indica tener amanezco tieso intermitente.,Reumatología
"Odontalgia severa, también refiere halitosis.",Odontología
Hay presencia de paso estornudando todo el día de inicio súbito.,Alergología
Presento traumatismo craneoencefálico intermitente.,Emergencias
Tengo disuria y polaquiuria intermitente.,Urología
Hay presencia de la orina sale con mucha espuma hace una semana.,Nefrología
"Polidipsia y poliuria, también refiere intolerancia al frío.",Endocrinología
Indica tener bruxismo intermitente.,Odontología
Siento que tengo la cara llena de granos feos constante.,Dermatología
Desde ayer tengo me siento muy nervioso y con miedo desde hace 3 días.,Psiquiatría
Paciente refiere que dolor pleurítico constante.,Neumología
"Me siento muy nervioso y con miedo, acompañado de escucho voces que nadie más oye.",Psiquiatría
"Doctor, tengo otalgia derecha constante.",Otorrinolaringología
Tengo se está hinchando todo y no respira desde hace 3 días.,Emergencias
Se queja de no puedo pegar el ojo en toda la noche de inicio súbito.,Psiquiatría
Bruxismo con gingivorragia.,Odontología
Me da hiperemia conjuntival que no pasa.,Oftalmología
Desde ayer tengo me sale sangre de la nariz hace una semana.,Otorrinolaringología
Manifiesta todo me da vueltas y me tumba hace una semana.,Neurología
"Fenómeno de raynaud, sumado a deformidad articular.",Reumatología
Acude por presentar me chilla el pecho al respirar intermitente.,Neumología
Manifiesta tengo un dolor en el riñón que me dobla desde esta mañana.,Urología
"Me duele la cintura bajito, acompañado de se me salió el hueso.",Traumatología
"Doctor, tengo disuria y polaquiuria intermitente.",Urología
"Algia lumbar mecánica, también refiere edema y equimosis post-traumática.",Traumatología
Me da no puedo pegar el ojo en toda la noche intermitente.,Psiquiatría
"Doctor, tengo irritabilidad y llanto constante desde hace 3 días.",Pediatría
Siento que me duele toda la cabeza como si tuviera una vincha constante.,Neurología
Tengo hipertensión resistente desde hace 3 días.,Nefrología
Tengo tiene una tos que no se le quita que no pasa.,Pediatría
Presento tengo la cara llena de granos feos intermitente.,Dermatología
Tengo tengo un dolorcito de cabeza hace una semana.,Medicina General
Hay presencia de pirexia no cuantificada desde hace 3 días.,Pediatría
Acude por presentar edema periorbitario constante.,Nefrología
"Algia lumbar mecánica, acompañado de edema y equimosis post-traumática.",Traumatología
Presento tengo morado y soplado después del golpe hace una semana.,Traumatología
"Doctor, tengo cervicalgia post-latigazo desde esta mañana.",Traumatología
"Doctor, tengo tengo mucha sed y orino bastante desde esta mañana.",Endocrinología
Masa palpable no dolorosa y siente hemorragia digestiva oculta.,Oncología
Tengo edema en miembros inferiores desde hace 3 días.,Cardiología
Ayúdeme con gingivorragia hace una semana.,Odontología
"Dispepsia funcional, también refiere epigastralgia urente.",Gastroenterología
"Tengo mal aliento, sumado a rechinar los dientes al dormir.",Odontología
Presenta edema y equimosis post-traumática y dice que se me salió el hueso.,Traumatología
Se queja de paso con frío todo el tiempo hace una semana.,Endocrinología
"Disfunción eréctil, sumado a cólico renoureteral.",Urología
Me duele la cintura bajito con se me salió el hueso.,Traumatología
Paciente refiere que aumento de peso injustificado hace una semana.,Endocrinología
Se queja de migraña con aura hace una semana.,Neurología
Desde ayer tengo tengo el cuello tieso por el frenazo que no pasa.,Traumatología
"Todo lo que come lo vomita, acompañado de tiene una tos que no se le quita.",Pediatría
"Dolor precordial opresivo, también refiere angina de pecho estable.",Cardiología
Paciente refiere que limitación funcional articular desde hace 3 días.,Traumatología
"Insomnio de conciliación, también refiere ideación suicida.",Psiquiatría
Se queja de cefalea tensional holocraneal desde hace 3 días.,Neurología
"Doctor, tengo oliguria de inicio súbito.",Nefrología
Paciente refiere que tengo problemas de potencia sexual desde esta mañana.,Urología
Presento todo lo que come lo vomita de inicio súbito.,Pediatría
Acude por presentar me siento muy nervioso y con miedo de inicio súbito.,Psiquiatría
Presento me duele la barriga un poco de inicio súbito.,Medicina General
"Estoy con calentura y cuerpo cortado, acompañado de me salieron ampollas dolorosas.",Infectología
"Micosis cutánea, sumado a alopecia areata.",Dermatología
"Doctor, tengo ya no hago del baño como antes constante.",Oncología
Desde ayer tengo fiebre de origen desconocido hace una semana.,Infectología
Presento aumento de peso injustificado desde esta mañana.,Endocrinología
Ayúdeme con tengo una picazón allá abajo intermitente.,Ginecología
Tengo disuria y polaquiuria que no pasa.,Urología
Me da deformidad articular que no pasa.,Reumatología
Parestesias en hemicuerpo y siente vértigo periférico.,Neurología
Presento colitis ulcerosa hace una semana.,Gastroenterología
Presento vértigo posicional de inicio súbito.,Otorrinolaringología
Me da traumatismo craneoencefálico intermitente.,Emergencias
Presenta proteinuria espumosa y dice que la orina sale con mucha espuma.,Nefrología
Desde ayer tengo me punza la espalda al respirar desde esta mañana.,Neumología
Siento que estoy orinando sangre de inicio súbito.,Urología
Ayúdeme con sudoración nocturna desde hace 3 días.,Infectología
Siento que tengo ganas de quitarme la vida constante.,Psiquiatría
"Doctor, tengo estoy engordando sin comer tanto intermitente.",Endocrinología
Me chilla el pecho al respirar y siente me punza la espalda al respirar.,Neumología
"Doctor, tengo rinitis alérgica estacional hace una semana.",Alergología
Tengo se está hinchando todo y no respira constante.,Emergencias
Manifiesta crisis de ansiedad generalizada intermitente.,Psiquiatría
Me da micosis cutánea de inicio súbito.,Dermatología
Acude por presentar alucinaciones auditivas que no pasa.,Psiquiatría
"Tos ferina, sumado a pirexia no cuantificada.",Pediatría
Indica tener micosis cutánea desde esta mañana.,Dermatología
Acude por presentar se me va el aire al subir gradas constante.,Cardiología
Indica tener rinorrea hialina hace una semana.,Medicina General
Presento artralgias matutinas de inicio súbito.,Reumatología
Indica tener me palpita feo el corazón de inicio súbito.,Cardiología
Se queja de veo lucecitas antes de que me duela la cabeza de inicio súbito.,Neurología
Desde ayer tengo tos ferina hace una semana.,Pediatría
Indica tener dolor pleurítico que no pasa.,Neumología
Tengo me duele la espalda baja a los lados constante.,Nefrología
Desde ayer tengo estoy viendo doble hace una semana.,Oftalmología
"Parestesias en hemicuerpo, sumado a cefalea tensional holocraneal.",Neurología
Me da tengo morado y soplado después del golpe desde hace 3 días.,Traumatología
"Doctor, tengo tengo tos de perro con flema constante.",Neumología
Desde ayer tengo me duele toda la cabeza como si tuviera una vincha de inicio súbito.,Neurología
